TransactionID,Dairy,Pulses,Veg n Fruits
100001,Flavored Milk,Rice,Fruits
100002,Butter,Rajma,Fruits
100003,Butter,Dal,Fruits
100004,Flavored Milk,Dal,Vegetables
100005,Cheese,Dal,Fruits
100006,Flavored Milk,Rajma,Vegetables
100007,Milk,Rajma,Fruits
100008,Butter,Dal,Fruits
100009,Flavored Milk,Dal,Fruits
100010,Cheese,Rajma,Fruits
100011,Butter,Rice,Fruits
100012,Flavored Milk,Rice,Fruits
100013,Cheese,Rajma,Vegetables
100014,Butter,Rajma,Fruits
100015,Cheese,Rajma,Vegetables
100016,Butter,Rajma,Vegetables
100017,Butter,Dal,Fruits
100018,Butter,Dal,Vegetables
100019,Butter,Rice,Vegetables
100020,Milk,Rice,Fruits
100021,Cheese,Rajma,Fruits
100022,Butter,Rice,Vegetables
100023,Cheese,Rajma,Fruits
100024,Milk,Dal,Fruits
100025,Cheese,Rajma,Vegetables
100026,Flavored Milk,Dal,Fruits
100027,Milk,Rajma,Vegetables
100028,Flavored Milk,Rajma,Fruits
100029,Cheese,Rice,Vegetables
100030,Flavored Milk,Rajma,Fruits
100031,Cheese,Rice,Fruits
100032,Butter,Dal,Fruits
100033,Flavored Milk,Dal,Fruits
100034,Cheese,Rajma,Fruits
100035,Butter,Rajma,Vegetables
100036,Milk,Rice,Fruits
100037,Milk,Dal,Vegetables
100038,Milk,Rice,Vegetables
100039,Butter,Rice,Fruits
100040,Cheese,Rajma,Vegetables
100041,Milk,Dal,Fruits
100042,Cheese,Rice,Vegetables
100043,Butter,Rice,Fruits
100044,Cheese,Rice,Vegetables
100045,Butter,Rice,Fruits
100046,Butter,Rice,Vegetables
100047,Butter,Rajma,Vegetables
100048,Butter,Dal,Vegetables
100049,Cheese,Rajma,Vegetables
100050,Butter,Rice,Vegetables
100051,Flavored Milk,Rajma,Fruits
100052,Cheese,Dal,Vegetables
100053,Milk,Rajma,Fruits
100054,Butter,Rice,Vegetables
100055,Butter,Rice,Fruits
100056,Milk,Dal,Vegetables
100057,Flavored Milk,Rajma,Vegetables
100058,Milk,Rajma,Fruits
100059,Cheese,Dal,Fruits
100060,Milk,Rice,Vegetables
100061,Flavored Milk,Rajma,Vegetables
100062,Milk,Rajma,Fruits
100063,Butter,Rajma,Vegetables
100064,Butter,Dal,Vegetables
100065,Flavored Milk,Dal,Fruits
100066,Butter,Rice,Vegetables
100067,Flavored Milk,Dal,Vegetables
100068,Flavored Milk,Dal,Vegetables
100069,Butter,Rajma,Fruits
100070,Cheese,Dal,Fruits
100071,Flavored Milk,Rajma,Fruits
100072,Butter,Rice,Vegetables
100073,Cheese,Rajma,Vegetables
100074,Milk,Dal,Fruits
100075,Flavored Milk,Rice,Fruits
100076,Cheese,Rajma,Vegetables
100077,Flavored Milk,Rice,Fruits
100078,Milk,Rajma,Vegetables
100079,Milk,Rice,Vegetables
100080,Milk,Dal,Vegetables
100081,Milk,Dal,Fruits
100082,Butter,Rajma,Fruits
100083,Cheese,Dal,Fruits
100084,Butter,Rajma,Vegetables
100085,Butter,Rice,Vegetables
100086,Butter,Rajma,Fruits
100087,Butter,Rice,Vegetables
100088,Cheese,Rice,Fruits
100089,Butter,Rajma,Vegetables
100090,Cheese,Rajma,Fruits
100091,Butter,Dal,Fruits
100092,Milk,Dal,Fruits
100093,Cheese,Rajma,Vegetables
100094,Flavored Milk,Rice,Fruits
100095,Butter,Rice,Fruits
100096,Cheese,Dal,Fruits
100097,Butter,Rajma,Fruits
100098,Cheese,Rice,Fruits
100099,Flavored Milk,Rajma,Vegetables
100100,Milk,Rajma,Fruits
100101,Milk,Rajma,Vegetables
100102,Butter,Rajma,Vegetables
100103,Flavored Milk,Rice,Vegetables
100104,Milk,Dal,Vegetables
100105,Butter,Rice,Vegetables
100106,Milk,Dal,Vegetables
100107,Flavored Milk,Rice,Fruits
100108,Flavored Milk,Dal,Vegetables
100109,Cheese,Rice,Fruits
100110,Butter,Rajma,Fruits
100111,Flavored Milk,Rajma,Vegetables
100112,Cheese,Rice,Vegetables
100113,Butter,Dal,Vegetables
100114,Flavored Milk,Rajma,Vegetables
100115,Butter,Rice,Vegetables
100116,Cheese,Rajma,Vegetables
100117,Flavored Milk,Rice,Vegetables
100118,Butter,Rice,Fruits
100119,Butter,Rajma,Vegetables
100120,Flavored Milk,Rice,Fruits
100121,Butter,Dal,Fruits
100122,Flavored Milk,Rice,Fruits
100123,Flavored Milk,Rice,Vegetables
100124,Milk,Dal,Vegetables
100125,Cheese,Rice,Vegetables
100126,Butter,Rajma,Vegetables
100127,Butter,Rajma,Fruits
100128,Milk,Rajma,Fruits
100129,Butter,Rajma,Vegetables
100130,Milk,Rajma,Vegetables
100131,Butter,Dal,Vegetables
100132,Butter,Rajma,Fruits
100133,Cheese,Rajma,Vegetables
100134,Cheese,Rajma,Vegetables
100135,Butter,Rice,Fruits
100136,Butter,Dal,Fruits
100137,Butter,Rajma,Fruits
100138,Milk,Dal,Fruits
100139,Flavored Milk,Dal,Fruits
100140,Flavored Milk,Rajma,Fruits
100141,Flavored Milk,Rice,Fruits
100142,Butter,Rajma,Fruits
100143,Cheese,Dal,Fruits
100144,Butter,Rajma,Fruits
100145,Milk,Rajma,Fruits
100146,Cheese,Dal,Vegetables
100147,Butter,Dal,Vegetables
100148,Flavored Milk,Rice,Fruits
100149,Cheese,Rice,Vegetables
100150,Butter,Rajma,Fruits
100151,Cheese,Rice,Vegetables
100152,Butter,Rajma,Fruits
100153,Butter,Rice,Fruits
100154,Butter,Rice,Fruits
100155,Cheese,Dal,Vegetables
100156,Flavored Milk,Dal,Fruits
100157,Flavored Milk,Rajma,Vegetables
100158,Milk,Rice,Vegetables
100159,Cheese,Dal,Vegetables
100160,Flavored Milk,Dal,Vegetables
100161,Cheese,Dal,Vegetables
100162,Cheese,Rice,Fruits
100163,Butter,Dal,Fruits
100164,Flavored Milk,Rice,Fruits
100165,Flavored Milk,Rajma,Vegetables
100166,Butter,Dal,Vegetables
100167,Butter,Rice,Vegetables
100168,Butter,Rice,Fruits
100169,Flavored Milk,Dal,Vegetables
100170,Butter,Rajma,Vegetables
100171,Flavored Milk,Dal,Fruits
100172,Milk,Rice,Fruits
100173,Butter,Rice,Vegetables
100174,Flavored Milk,Rice,Vegetables
100175,Cheese,Dal,Vegetables
100176,Butter,Dal,Fruits
100177,Flavored Milk,Dal,Vegetables
100178,Butter,Dal,Vegetables
100179,Cheese,Rice,Fruits
100180,Milk,Dal,Fruits
100181,Butter,Rajma,Fruits
100182,Flavored Milk,Rice,Vegetables
100183,Butter,Rice,Vegetables
100184,Flavored Milk,Rice,Vegetables
100185,Butter,Dal,Vegetables
100186,Cheese,Rice,Fruits
100187,Butter,Rice,Fruits
100188,Milk,Rice,Vegetables
100189,Butter,Rajma,Fruits
100190,Flavored Milk,Dal,Fruits
100191,Flavored Milk,Dal,Fruits
